classification:  C_id,cus_orig_lat,cus_orig_lon,cus_orig_x,cus_orig_y,cus_orig_identifiant,cus_dest_lat,cus_dest_lon,cus_dest_x,cus_dest_y,cus_dest_identifiant,EAT,LAT

0    48.8459    2.37376    -7    5    7886    48.8616    2.32429    -1    -5    8698    611    651

1    48.8337    2.33293    -12    -4    7192    48.8535    2.36849    -5    4    8159    562    598

2    48.9335    2.04027    26    -65    12337    48.8694    2.31045    2    -8    9106    448    589

3    48.8355    2.33339    -11    -3    7330    48.8681    2.19585    1    -32    8945    479    559

4    48.8827    2.34936    7    0    9799    48.8777    2.38358    5    7    9532    551    582

5    48.8399    2.65348    -10    64    7534    48.8642    2.2923    0    -12    8828    489    664

6    48.8489    2.39435    -6    9    8027    48.8733    2.20354    3    -31    9220    579    680

7    48.9347    2.04422    27    -64    12475    48.8489    2.38194    -6    7    8025    530    704

8    48.7027    2.07066    -63    -58    151    48.86    2.33127    -2    -4    8562    519    690

9    48.7257    2.25937    -54    -19    1423    48.8532    2.36883    -5    4    8159    497    610

10    49.0492    2.01144    71    -71    18496    48.8468    2.41067    -7    13    7894    378    615

11    48.8905    2.24015    10    -23    10187    48.8678    2.3175    1    -7    8970    519    572

12    48.8689    2.78357    1    91    9068    48.8779    2.37108    5    4    9529    346    543

13    49.0515    2.01356    72    -70    18634    48.8684    2.32463    1    -5    8972    366    565

14    48.8461    2.3751    -7    5    7886    48.8687    2.30691    1    -9    8968    663    712

15    48.9327    2.49247    26    30    12432    48.8714    2.2904    2    -12    9102    519    632

16    48.8536    2.34551    -4    -1    8291    48.8468    2.38017    -7    6    7887    647    678

17    48.8469    2.37339    -7    5    7886    48.8762    2.27979    4    -15    9373    643    704

18    48.8396    2.65454    -10    64    7534    48.8516    2.37002    -5    4    8159    492    633

19    48.723    2.25744    -55    -19    1286    48.871    2.37696    2    6    9120    468    595

20    48.7021    2.0737    -63    -58    151    48.8686    2.28523    1    -14    8963    388    548

21    48.8465    2.37036    -7    4    7885    48.862    2.35437    -1    1    8704    672    700

22    48.8742    2.32754    3    -5    9246    48.8617    2.33943    -1    -2    8701    566    591

23    48.7234    2.2622    -55    -18    1287    48.8719    2.28315    3    -14    9237    502    617

24    48.8392    2.65407    -10    64    7534    48.8513    2.38715    -5    8    8163    586    719

