RelativeTime,PacketsSent,PacketsReceived,BytesSent,BytesReceived,IPSrc0,IPDst0,Protocol0,PacketsSent0,PacketsReceived0,BytesSent0,BytesReceived0,IPSrc1,IPDst1,Protocol1,PacketsSent1,PacketsReceived1,BytesSent1,BytesReceived1,IPSrc2,IPDst2,Protocol2,PacketsSent2,PacketsReceived2,BytesSent2,BytesReceived2,IPSrc3,IPDst3,Protocol3,PacketsSent3,PacketsReceived3,BytesSent3,BytesReceived3,IPSrc4,IPDst4,Protocol4,PacketsSent4,PacketsReceived4,BytesSent4,BytesReceived4,IPSrc5,IPDst5,Protocol5,PacketsSent5,PacketsReceived5,BytesSent5,BytesReceived5,IPSrc6,IPDst6,Protocol6,PacketsSent6,PacketsReceived6,BytesSent6,BytesReceived6,IPSrc7,IPDst7,Protocol7,PacketsSent7,PacketsReceived7,BytesSent7,BytesReceived7,IPSrc8,IPDst8,Protocol8,PacketsSent8,PacketsReceived8,BytesSent8,BytesReceived8,IPSrc9,IPDst9,Protocol9,PacketsSent9,PacketsReceived9,BytesSent9,BytesReceived9,IPSrc10,IPDst10,Protocol10,PacketsSent10,PacketsReceived10,BytesSent10,BytesReceived10,IPSrc11,IPDst11,Protocol11,PacketsSent11,PacketsReceived11,BytesSent11,BytesReceived11,IPSrc12,IPDst12,Protocol12,PacketsSent12,PacketsReceived12,BytesSent12,BytesReceived12,IPSrc13,IPDst13,Protocol13,PacketsSent13,PacketsReceived13,BytesSent13,BytesReceived13,IPSrc14,IPDst14,Protocol14,PacketsSent14,PacketsReceived14,BytesSent14,BytesReceived14,IPSrc15,IPDst15,Protocol15,PacketsSent15,PacketsReceived15,BytesSent15,BytesReceived15,IPSrc16,IPDst16,Protocol16,PacketsSent16,PacketsReceived16,BytesSent16,BytesReceived16,IPSrc17,IPDst17,Protocol17,PacketsSent17,PacketsReceived17,BytesSent17,BytesReceived17,IPSrc18,IPDst18,Protocol18,PacketsSent18,PacketsReceived18,BytesSent18,BytesReceived18,IPSrc19,IPDst19,Protocol19,PacketsSent19,PacketsReceived19,BytesSent19,BytesReceived19,IPSrc20,IPDst20,Protocol20,PacketsSent20,PacketsReceived20,BytesSent20,BytesReceived20,IPSrc21,IPDst21,Protocol21,PacketsSent21,PacketsReceived21,BytesSent21,BytesReceived21,IPSrc22,IPDst22,Protocol22,PacketsSent22,PacketsReceived22,BytesSent22,BytesReceived22,IPSrc23,IPDst23,Protocol23,PacketsSent23,PacketsReceived23,BytesSent23,BytesReceived23,IPSrc24,IPDst24,Protocol24,PacketsSent24,PacketsReceived24,BytesSent24,BytesReceived24,IPSrc25,IPDst25,Protocol25,PacketsSent25,PacketsReceived25,BytesSent25,BytesReceived25,Buffering,Paused,Playing,CollectData,EpochTime,StartTime,PlaybackProgress,Length,BufferHealth,BufferProgress,BufferValid,KBytesReceived,label
0.4,28,50,4365,11981, 192.168.0.110,1.186.191.79,0,0,0,0,0, 192.168.0.110,216.58.196.67,TCP,5,11,330,1863, 192.168.0.110,216.58.203.142,QUIC,6,10,2541,5069, 192.168.0.110,216.58.196.78,TCP,10,20,660,3330, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.74,TCP,2,4,132,666, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.182,0,0,0,0,0, 192.168.0.110,216.58.196.65,TCP,2,4,132,666, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,172.217.166.34,0,0,0,0,0, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,172.217.194.188,TCP,2,1,353,387, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.235.38,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,1,0,217,0,0,0,0,0,0,1526103863266,0.0,734.1610000000001,0.0,0.0,-1,11.981,NoQualityInfo
0.8999999999999999,26,47,17292,30683, 192.168.0.110,1.186.191.79,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,6,11,4425,8752, 192.168.0.110,216.58.203.142,QUIC,0,1,0,75, 192.168.0.110,216.58.196.78,QUIC,1,4,1392,2941, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.77,QUIC,1,0,1392,0, 192.168.0.110,216.58.196.74,QUIC,5,8,1184,3286, 192.168.0.110,216.58.196.68,QUIC,2,4,1475,2941, 192.168.0.110,52.222.128.201,TCP,2,3,132,661, 192.168.0.110,172.217.166.182,QUIC,2,4,1475,2941, 192.168.0.110,216.58.196.65,QUIC,2,3,1475,2861, 192.168.0.110,216.58.196.70,QUIC,2,4,1475,2941, 192.168.0.110,172.217.166.34,QUIC,3,4,2867,2941, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,172.217.194.188,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.235.38,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,1,0,343,0,0,0,0,0,1526103863266,0.0,734.1610000000001,0.0,0.0,-1,30.683,NoQualityInfo
1.1,25,51,3954,36447, 192.168.0.110,1.186.191.79,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,3,8,280,4545, 192.168.0.110,216.58.203.142,QUIC,9,16,726,18976, 192.168.0.110,216.58.196.78,QUIC,2,4,177,1611, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.77,TCP,4,6,2124,3081, 192.168.0.110,216.58.196.74,QUIC,1,2,83,515, 192.168.0.110,216.58.196.68,QUIC,1,3,100,1545, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.182,QUIC,1,3,100,1545, 192.168.0.110,216.58.196.65,QUIC,2,3,164,1545, 192.168.0.110,216.58.196.70,QUIC,1,3,100,1542, 192.168.0.110,172.217.166.34,QUIC,1,3,100,1542, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,172.217.194.188,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.235.38,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526103863266,0.0,734.1610000000001,0.0,0.0,-1,36.447,NoQualityInfo
4.6,66,143,6663,199056, 192.168.0.110,1.186.191.79,QUIC,64,143,5568,199056, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,216.58.203.142,QUIC,2,0,1095,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.182,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,172.217.166.34,0,0,0,0,0, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,172.217.194.188,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.235.38,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,1,0,1526103867361,1526103863266,0.021209093460083008,734.1610000000001,3.5397909065399173,0.004850434713911527,true,199.056,q1080p
0.4,23,29,15145,22665, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,2,3,2784,2861, 192.168.0.110,172.217.166.174,QUIC,1,1,238,75, 192.168.0.110,107.23.165.206,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.65,QUIC,2,3,1475,2861, 192.168.0.110,216.58.196.70,QUIC,2,3,1475,2861, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,172.217.166.66,QUIC,3,3,2867,2861, 192.168.0.110,216.58.196.68,QUIC,2,3,1475,2861, 192.168.0.110,52.222.128.225,TCP,2,2,132,594, 192.168.0.110,172.217.160.142,QUIC,2,3,2784,2861, 192.168.0.110,74.125.68.188,0,0,0,0,0, 192.168.0.110,216.58.196.86,QUIC,2,3,1475,2861, 192.168.0.110,172.217.166.74,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,52.219.20.23,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,52.54.228.201,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,5,5,440,1969,0,0,0,0,0,1526104517141,0.0,634.601,0.0,0.0,-1,22.665,NoQualityInfo
0.5,23,34,7491,27008, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,2,4,164,2934, 192.168.0.110,172.217.166.174,QUIC,7,14,563,16264, 192.168.0.110,107.23.165.206,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.65,QUIC,1,1,1392,80, 192.168.0.110,216.58.196.70,QUIC,1,1,1392,80, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,172.217.166.66,QUIC,2,4,164,2937, 192.168.0.110,216.58.196.68,QUIC,3,3,1556,1545, 192.168.0.110,52.222.128.225,0,0,0,0,0, 192.168.0.110,172.217.160.142,QUIC,2,3,164,1542, 192.168.0.110,74.125.68.188,0,0,0,0,0, 192.168.0.110,216.58.196.86,QUIC,3,3,1556,1545, 192.168.0.110,172.217.166.74,QUIC,2,1,540,81, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,52.219.20.23,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,52.54.228.201,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526104517141,0.0,634.601,0.0,0.0,-1,27.008,NoQualityInfo
0.7999999999999999,18,30,4456,18129, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,0,2,0,144, 192.168.0.110,172.217.166.174,0,0,0,0,0, 192.168.0.110,107.23.165.206,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.65,QUIC,4,6,324,7033, 192.168.0.110,216.58.196.70,QUIC,5,7,829,7301, 192.168.0.110,216.58.196.77,QUIC,1,0,1392,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,172.217.166.66,QUIC,0,2,0,144, 192.168.0.110,216.58.196.68,QUIC,0,2,0,141, 192.168.0.110,52.222.128.225,0,0,0,0,0, 192.168.0.110,172.217.160.142,QUIC,0,1,0,72, 192.168.0.110,74.125.68.188,TCP,2,1,649,74, 192.168.0.110,216.58.196.86,QUIC,1,2,81,144, 192.168.0.110,172.217.166.74,QUIC,4,6,1102,2733, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,52.219.20.23,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,52.54.228.201,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,1,1,79,343,0,0,0,0,0,1526104517141,0.0,634.601,0.0,0.0,-1,18.129,NoQualityInfo
1.1,10,18,2334,12134, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,172.217.166.174,0,0,0,0,0, 192.168.0.110,107.23.165.206,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,QUIC,3,5,1555,5645, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,172.217.166.66,QUIC,2,4,160,2001, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,52.222.128.225,0,0,0,0,0, 192.168.0.110,172.217.160.142,QUIC,0,1,0,69, 192.168.0.110,74.125.68.188,TCP,3,4,456,3787, 192.168.0.110,216.58.196.86,0,0,0,0,0, 192.168.0.110,172.217.166.74,QUIC,2,4,163,632, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,52.219.20.23,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,52.54.228.201,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526104517141,0.0,634.601,0.0,0.0,-1,12.134,NoQualityInfo
5.799999999999995,65,139,7449,186853, 192.168.0.110,1.186.190.209,QUIC,63,138,6350,186751, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,172.217.166.174,QUIC,2,1,1099,102, 192.168.0.110,107.23.165.206,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,52.222.128.225,0,0,0,0,0, 192.168.0.110,172.217.160.142,0,0,0,0,0, 192.168.0.110,74.125.68.188,0,0,0,0,0, 192.168.0.110,216.58.196.86,0,0,0,0,0, 192.168.0.110,172.217.166.74,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,52.219.20.23,0,0,0,0,0, 192.168.0.110,52.220.243.181,0,0,0,0,0, 192.168.0.110,172.217.160.179,0,0,0,0,0, 192.168.0.110,52.54.228.201,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0, 192.168.0.110,162.125.33.7,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,1,0,1526104522743,1526104517141,0.0975151049041748,634.601,6.668484895095825,0.0106618174254374,true,186.853,q1080p
0.1,38,36,9909,13882, 192.168.0.110,1.186.190.210,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,10,11,2777,4490, 192.168.0.110,216.58.203.142,TCP,9,6,4449,838, 192.168.0.110,216.58.196.78,TCP,6,6,912,1176, 192.168.0.110,172.217.26.246,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.199.174,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,172.217.166.34,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,209.85.225.234,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.65,TCP,2,3,132,588, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,172.217.166.182,0,0,0,0,0, 192.168.0.110,1.186.190.207,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,52.222.128.225,TCP,9,9,1249,6403, 192.168.0.110,74.115.0.81,0,0,0,0,0, 192.168.0.110,216.58.220.10,0,0,0,0,0, 192.168.0.110,1.186.190.206,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,74.125.68.188,TCP,2,1,390,387, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526094501231,0.0,561.621,0.0,0.0,-1,13.882,NoQualityInfo
