time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-misses,branches,bus-cycles,cache-misses,cache-references,context-switches,cpu-clock,cycles,dTLB-load-misses,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,instructions,minor-faults,node-load-misses,node-loads,node-store-misses,node-stores,page-faults,ref-cycles,task-clock,label
15.004141295999998,91137038.0,1193699721.0,852544430.0,67935.0,2959.0,60441734.0,2593.0,16677482.0,8400237.0,8146588.0,604739783.0,99540889.0,5381.0,77273729.0,1.0,1000.234041,2588260434.0,1248574.0,1113.0,848562848.0,2438.0,1475.0,4037813122.0,0.0,2088.0,713.0,463.0,2063.0,0.0,2588392257.0,1000.234109,2
16.00439322,91182116.0,1201689189.0,847646259.0,71231.0,2688.0,60601634.0,2501.0,16731476.0,7954218.0,8002901.0,603885745.0,99551536.0,5579.0,77294686.0,0.0,1000.2380289999999,2588259424.0,1188583.0,963.0,852473408.0,2701.0,633.0,4022613573.0,0.0,2063.0,742.0,475.0,1875.0,0.0,2588653862.0,1000.237955,2
17.004649267,91285278.0,1201407323.0,843115773.0,73794.0,2836.0,60529923.0,2502.0,16707269.0,7737220.0,7929572.0,604629592.0,99550622.0,5271.0,77086107.0,0.0,1000.2397300000001,2588326060.0,1448075.0,1209.0,849249354.0,2737.0,602.0,4029374017.0,0.0,2202.0,513.0,511.0,1976.0,0.0,2588626857.0,1000.239758,2
18.004905548,91275547.0,1196650280.0,845025613.0,70003.0,2594.0,60532708.0,2535.0,16714406.0,6982474.0,7625213.0,604811391.0,99551825.0,5167.0,77478291.0,0.0,1000.242992,2588346310.0,1228242.0,1088.0,849896328.0,2119.0,617.0,4024208349.0,0.0,1994.0,669.0,550.0,2038.0,0.0,2588655890.0,1000.2430289999999,2
19.005157735,91209535.0,1202377040.0,853160810.0,70742.0,2563.0,60529316.0,2567.0,16735259.0,8917126.0,8832663.0,602553426.0,99546218.0,5302.0,77283211.0,1.0,1000.221603,2588253487.0,1677351.0,2167.0,849191775.0,2526.0,795.0,4014553078.0,0.0,2042.0,667.0,458.0,2056.0,0.0,2588518692.0,1000.2216070000001,2
20.005424048,91158027.0,1195914638.0,846775201.0,72380.0,2556.0,60571886.0,2538.0,16719706.0,9152207.0,9466674.0,599354418.0,99551130.0,5096.0,77418491.0,0.0,1000.253198,2588352462.0,2101370.0,3047.0,846913448.0,2300.0,696.0,3989135792.0,0.0,1994.0,706.0,563.0,2013.0,0.0,2588641121.0,1000.253166,2
21.005676047,91218447.0,1198277100.0,849824230.0,70730.0,2651.0,60488681.0,2567.0,16703350.0,7516487.0,7434481.0,605437343.0,99550663.0,5151.0,77436497.0,0.0,1000.237036,2588346111.0,1549620.0,1200.0,848789033.0,2269.0,608.0,4035296662.0,0.0,2182.0,556.0,475.0,1950.0,0.0,2588618802.0,1000.237,2
22.005933684000002,91270457.0,1203666450.0,848443268.0,70230.0,2638.0,60527638.0,2559.0,16721217.0,9487445.0,9965431.0,597820056.0,99549803.0,5251.0,77355430.0,0.0,1000.2396259999999,2588305195.0,1781750.0,2139.0,847805552.0,2410.0,639.0,3973199353.0,0.0,2049.0,563.0,486.0,2151.0,0.0,2588608736.0,1000.2396669999999,2
23.006187010999998,90966654.0,1187768795.0,845999719.0,73560.0,2473.0,60470882.0,2538.0,16676333.0,10062513.0,10035178.0,598950919.0,99539699.0,5326.0,77132418.0,1.0,1000.225415,2588057654.0,2472616.0,3613.0,845582029.0,3713.0,608.0,3990328768.0,0.0,2051.0,575.0,475.0,2051.0,0.0,2588370253.0,1000.2255550000001,2
24.006443089,91278185.0,1204042686.0,850956113.0,71343.0,2601.0,60468365.0,2551.0,16686738.0,7358444.0,7404790.0,606019919.0,99552776.0,5079.0,77459308.0,0.0,1000.239659,2588367706.0,1962509.0,2563.0,848562286.0,2936.0,684.0,4036674036.0,0.0,2093.0,409.0,500.0,1945.0,0.0,2588681423.0,1000.2395740000001,2
